label3,label6,label7,label9,label12,label13,label16,label17,label22,label27,label28,label33,label34,label35,label36,label39,label40,label41,label44,label45,label46,label47,label48,label51,label52,label53,label54,label55,label62,label63,label64,label65,label66,label68,label71,label73,label75,label76,label77,label78,label80,label81,label83,label84,label85,label88,label92,label94,label97,label98,label102,label105,label106,label108,label110,label111,label112,label113,label114,label115,label116,label117,label118,label119,label120,label121,label122,label123,label124,label125,label126,label127,label128,label129,label130,label131,label132,label133,label134,label135,label136,label137,label138,label139,label140,label141,label143,label145,label146,label147,label148,label149,label150,label151,label152,label153,label154,label155,label156,label157,label160,label161,label162,label163,label164,label165
199,0,0,69,204,12,0,484,350,18,0,604,0,0,0,972,1456,0,0,0,51,7,2,3,0,0,63,0,0,20,83,1500,2,0,-129,1373,1373,1456,416,416,5,5,2,58,349,0,0,0,2,1,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.4,416,0.2,0.2,0.2,0,5.7,768.3,749.2,0,0,98.8,0.7,0,0,1.1,0
134,0,15,319,1234,20,22,1744,0,39,0,1,0,42,10,92,1836,0,0,3,105,0,44,87,0,0,239,0,0,5,244,1500,2,11,-24,1489,1591,1835,1484,1484,637,637,20,247,488,3,25,0,64,0,0,64,20,44,60,1590,0,729,2319,562,591,61,1262,2476,-157,78,0,0,0,0,78,22,98,0,0,120,-42,0,0,0,0,0,0,0,0,0,-199,105,0.9,39.8,197.9,2.8,2.8,3.9,0,13.3,729.7,721.3,-65.7,0,57.1,4.6,1.1,256.7,1.3,3100
