1.31	12.81	841.25	71.84	436.36	1.74	11.00	1429.93	1.28	145.14	0.12	-0.51	841.25	436.36	913.09	121.67	39.71	-223.19	0.45	-0.48	21.75	0.00	0.66	85.16	0.11	0.18	0.26	3.38	0.77	0.17	0.00	0.00	0.00	0.00	0.00	0.00
0.94	2.37	10646.33	4250.87	1997.94	0.75	10.00	-2102.95	6.46	473.95	0.37	0.50	10646.33	1997.94	14897.20	1430.95	252.52	999.46	-0.23	0.01	11.09	13.05	1.21	680.11	0.14	0.11	0.11	5.50	0.43	0.20	0.00	0.00	0.00	0.00	0.00	2.00
0.52	8.18	5934.26	6379.12	6794.64	-2.51	9.00	9.92	0.81	74.10	0.00	0.10	5934.26	6794.64	12313.38	11.79	0.00	674.66	4.02	0.76	0.21	0.00	1.19	2013.06	0.00	0.00	0.00	2.40	0.18	0.00	1.00	0.00	0.00	0.00	0.00	0.00
0.65	2.61	6227.68	76.04	2812.03	0.73	9.00	287.15	1.24	208.40	1.32	-0.11	6227.68	2812.03	6303.72	613.60	108.66	-298.10	1.78	2.64	17.57	0.00	0.88	63.51	0.15	0.11	0.18	6.82	0.40	0.21	0.00	0.00	0.00	0.00	0.00	0.00
2.00	4.75	19.00	5.00	86.00	-0.58	15.00	3800000.00	-0.72	22.09	0.13	-0.63	19.00	86.00	24.00	-171.00	0.00	-54.00	-0.11	-0.79	275.81	0.00	1.00	4.00	-4.50	-7.13	2.76	3900000.00	1.62	-0.82	0.00	0.00	0.00	0.00	0.00	0.00
2.04	4.84	9345.41	213.41	3564.59	2.50	8.00	89.23	1.68	262.14	1.40	0.72	9345.41	3564.59	9558.82	369.19	118.91	2564.06	2.78	0.09	6.16	9.37	1.12	37.24	0.02	0.05	0.06	14041.33	1.51	0.03	1.00	0.00	0.00	0.00	0.00	3.00
2.13	28.92	1606.80	787.62	243.04	1.88	11.00	-3328.76	8.85	542.55	3.94	0.95	1606.80	243.04	2394.42	-42.50	-2.06	230.89	2.83	-0.40	-1.98	-2.07	1.13	8.99	-0.01	-0.02	-0.02	8.91	1.07	-0.01	1.00	0.00	0.00	0.00	1.00	8.00
1.26	39413000.00	312.03	239.18	53.41	0.00	14.00	39413000.00	3.15	189.03	3.01	0.38	312.03	53.41	551.21	118.24	0.00	20.32	32822000.00	2.61	103.29	32.82	0.00	0.00	0.30	0.22	0.24	0.00	0.00	1.82	0.00	0.00	0.00	0.00	0.00	0.00
1.78	12.58	8858.51	189.70	3302.79	0.00	10.00	1573033000.00	1.83	240.60	0.04	0.00	8858.51	3302.79	9353.22	2854.08	0.00	0.00	1.48	0.50	61.73	0.00	0.00	0.00	0.18	0.31	0.47	0.00	0.00	2.37	0.00	0.00	0.00	0.00	1.00	1.00
0.97	2.83	34485.08	1283.11	17962.72	0.00	6.00	34.25	1.34	117.92	0.31	-0.26	34485.08	17962.72	41965.65	2948.89	0.00	-4631.23	-0.21	0.15	13.13	0.00	0.96	0.00	0.09	0.08	0.12	0.00	0.00	0.64	11.00	0.00	0.00	0.00	9.00	16.00
1.76	8.00	2491.06	779.79	2080.97	9.16	13.00	107.55	0.57	90.34	0.04	0.14	2491.06	2080.97	3270.85	133.14	48.14	299.06	1.33	0.19	11.85	0.00	1.29	10.61	0.03	0.06	0.11	6.15	1.15	0.04	1.00	0.00	0.00	0.00	1.00	1.00
2.07	8.36	29281.62	108038.02	49899.44	-2.39	6.00	24.80	0.80	48.97	0.17	0.00	29281.62	49899.44	137319.64	1909.11	46.17	-211.17	-1.13	0.02	3.12	0.00	1.00	5936.13	0.03	0.03	0.03	10.18	0.36	0.03	22.00	0.00	0.00	0.00	0.00	46.00
0.00	0.00	120.82	381.87	0.00	0.00	13.00	0.00	50269000.00	0.00	613000.00	266000.00	120.82	0.00	502.69	-14.07	0.00	2.66	-0.45	-0.05	-2.80	0.00	0.00	0.00	-1407000.00	-0.03	-0.03	0.00	0.00	-1.00	0.00	1.00	0.00	0.00	0.00	0.00
0.30	1.00	121834.62	11931.45	112521.82	2.56	5.00	20.29	0.19	107.31	0.46	-0.02	121834.62	112521.82	133766.07	4398.82	781.83	-2547.62	-0.21	0.75	23.10	0.00	0.48	87.21	0.12	0.04	0.21	21.97	0.18	0.17	6.00	0.00	0.00	0.00	1.00	27.00
1.32	4.56	10926.00	410.00	4482.00	1.11	9.00	-4803.02	1.15	237.55	1.28	-0.14	10926.00	4482.00	11336.00	1976.00	349.00	-634.00	0.01	0.12	32.64	32.64	1.09	33.00	0.14	0.21	0.33	25.68	0.63	0.18	0.00	0.00	1.00	0.00	0.00	0.00
0.60	2.23	30061.66	14956.13	21633.95	1.54	9.00	50.16	0.99	119.28	0.11	-0.03	30061.66	21633.95	45017.79	1114.48	-36.74	-608.94	-0.49	0.43	4.98	0.00	0.81	334.09	0.06	0.02	0.05	3.04	0.29	0.06	1.00	0.00	0.00	0.00	0.00	5.00
0.63	2.11	2323.32	1662.72	1233.60	0.44	12.00	3948.70	2.23	149.89	0.05	0.11	2323.32	1233.60	3986.04	289.32	96.44	133.85	-1.72	0.59	10.51	14.02	0.64	84.54	0.20	0.10	0.11	1.01	0.12	0.36	0.00	0.00	0.00	0.00	0.00	0.00
0.17	0.49	150817968.40	23871379.65	112926289.30	0.51	11.00	3798.24	0.55	119.81	0.06	-0.25	150817968.40	112926289.30	174689348.10	851920.24	294172.48	-28278967.63	17.66	0.05	1.37	2.34	1.03	0.00	0.03	0.01	0.01	1.24	0.11	0.05	2.00	0.00	0.00	0.00	0.00	2.00
1.55	5.48	391.09	89.89	42.72	0.74	14.00	-1446.42	10.26	776.05	3.12	0.00	391.09	42.72	480.98	-92.32	0.00	0.00	-157.57	0.11	-21.07	0.00	0.00	0.00	-0.15	-0.19	-0.21	4.30	0.53	-0.13	0.00	0.00	0.00	0.00	2.00	0.00
0.00	0.00	553.14	17.36	181.65	0.00	15.00	0.00	2.14	222.84	1.86	0.00	553.14	181.65	570.50	-5.01	0.00	0.00	-0.25	0.19	-1.29	0.00	0.00	0.00	-501000.00	-0.01	-0.01	0.00	0.00	-1.01	0.00	1.00	0.00	0.00	1.00	0.00
